grid_row,grid_col,building_id,profile_id,lon,lat,landuse,roof_area_m2
12,4,201006.0005867,Com_40605,-122.4045080108661,37.79790649377957,industrial,184.512
12,5,201006.0008142,Res_218306,-122.40362330776688,37.79805203191503,residential,224.187
12,6,201006.0017029,Com_30057,-122.4035844182454,37.79788138751796,industrial,241.548
12,7,201006.0006745,Res_251238,-122.40342015155025,37.79769687401237,residential,247.425
12,8,201006.0030885,Com_33730,-122.40318494124445,37.79719370206371,industrial,115.581
12,9,201006.0023275,Com_52133,-122.40306887197735,37.79685604119841,industrial,292.877
12,10,201006.004355,Com_36713,-122.40300871598286,37.79664958475884,industrial,169.083
12,11,201006.0005119,Com_34879,-122.40326831298673,37.79698445694608,industrial,207.580
12,12,201006.0058578,Com_36713,-122.40310249169153,37.79663833275353,industrial,253.625
12,13,201006.0158544,Com_34599,-122.40338845164746,37.79723567779466,commercial,46.297
12,14,201006.0091416,Com_36713,-122.40318405078955,37.79662530298422,industrial,78.443
12,15,201006.0006206,Com_26114,-122.4033731857447,37.797153595992356,industrial,301.935
12,16,201006.0013408,Res_251238,-122.40288850810542,37.79579172709681,residential,25.000
12,17,201006.0011308,Com_43596,-122.40170175980816,37.79413611838785,industrial,215.630
12,18,201006.0054066,Com_34599,-122.40183993377634,37.7942552333755,commercial,101.752
12,19,201006.0003109,Com_52855,-122.4007749666282,37.79290157534239,industrial,63.565
12,20,201006.0002491,Com_52658,-122.40145972793219,37.79332017027187,industrial,201.290
12,21,201006.0007575,Com_52658,-122.4000156176117,37.79207731539527,industrial,172.534
12,22,201006.0009202,Com_26846,-122.39999157024201,37.79194739691029,commercial,199.301
12,23,201006.0009671,Com_52787,-122.39996942260785,37.79182787633629,commercial,188.528
12,24,201006.0003235,Com_28041,-122.40029161231799,37.79191365119303,industrial,44.731
12,25,201006.0001679,Com_23074,-122.39997167538942,37.79157864595753,industrial,86.267
12,26,201006.0012969,Com_52658,-122.39869079868478,37.79035113564667,industrial,138.027
12,27,201006.0000184,Com_42370,-122.39511378890919,37.788558450304386,industrial,100.645
12,28,201006.0007058,Com_52658,-122.39793739700313,37.78975662124212,industrial,170.809
12,29,201006.0017094,Com_52658,-122.3981306348336,37.78985598098715,industrial,139.753
12,30,201006.0000784,Res_18160,-122.39189072857113,37.787649578864745,residential,25.000
12,31,201006.0000526,Res_309813,-122.39222714033819,37.78731234289795,residential,301.935
12,32,201006.0001441,Res_55846,-122.39094614089389,37.786969597701685,residential,25.000
12,33,201006.0006376,Com_52771,-122.39244540742301,37.78674517012806,industrial,259.815
12,34,201006.0001143,Res_112887,-122.38906205671371,37.78625062870915,residential,25.000
12,35,201006.0000387,Com_22978,-122.39124461286345,37.78638593836751,industrial,201.290
13,0,201006.005901,Com_34599,-122.40641057028878,37.79744776159219,commercial,80.516
13,1,201006.000364,Com_46958,-122.40575354338543,37.797583576807696,commercial,402.580
13,2,201006.000729,Com_36713,-122.40516592292855,37.79746040063352,industrial,679.716
13,3,201006.0005614,Com_32309,-122.40486640573708,37.79742277981704,industrial,402.580
13,4,201006.0030681,Com_36713,-122.40433799759903,37.79741067554787,industrial,113.226
13,5,201006.0001588,Com_33730,-122.40406865798273,37.79752323377476,industrial,241.548
13,6,201006.0018103,Com_30057,-122.40355630529943,37.79776684926048,industrial,201.290
13,7,201006.0028728,Com_32200,-122.40331620781646,37.79688012136456,commercial,133.032
13,8,201006.0010659,Com_52133,-122.40329362203722,37.7967993182928,industrial,195.251
13,9,201006.001202,Com_36713,-122.40332288472567,37.79661015138764,industrial,155.476
13,10,201006.0012328,Com_36713,-122.40312846565705,37.796238418995664,industrial,150.665
13,11,201006.0011017,Com_35207,-122.40324260317865,37.79633116028668,commercial,186.378
13,12,201006.0087623,Res_251238,-122.40298938221598,37.795736935819136,residential,25.000
13,13,201006.0072241,Com_32309,-122.40316990633721,37.7958219162777,industrial,115.782
13,14,201006.0014935,Com_36713,-122.403143099549,37.795712859142654,industrial,230.578
13,15,201006.0032501,Com_32309,-122.40244398364536,37.79461337989882,industrial,72.344
13,16,201006.0035646,Com_32309,-122.40241167168833,37.79445083293141,industrial,139.534
13,17,201006.0012232,Com_32693,-122.40253241454063,37.79453178455727,commercial,172.079
13,18,201006.001968,Com_34599,-122.40267232367356,37.79458784330205,commercial,134.764
13,19,201006.0011933,Com_23074,-122.40072539504938,37.79229020502143,industrial,67.097
13,20,201006.0005008,Com_53860,-122.4013600826353,37.792817967243806,industrial,38.959
13,21,201006.0002698,Com_53860,-122.40179535900508,37.7932860984125,industrial,48.310
